pkg_name,avg_issue_till_closed,avg_pr_till_closed,avg_issue_open_time,avg_pr_open_time
is-stream,16537.96,17.12,,
anymatch,635.91,23.01,35809.29,28403.08
camelcase-keys,1567.04,111.99,7533.69,
os-locale,28.10,116.29,45997.59,
meow,1016.05,306.68,54019.19,
postcss,55.58,3.05,26790.90,6049.93
fast-levenshtein,326.78,16.90,60504.33,58677.24
forwarded,7088.55,342.04,31081.40,1700.61
set-immediate-shim,23217.88,3.36,,
es5-ext,115.76,6.52,74996.98,36902.61
optionator,1245.68,1150.84,70501.80,49697.43
loud-rejection,184.28,29.53,,
htmlparser2,483.47,3.95,10833.12,14736.00
type-detect,21.82,868.10,64910.05,43132.05
sigmund,,12.82,86906.41,78017.09
process,35.33,95.53,52963.61,60645.52
underscore.string,571.34,133.10,94503.98,96868.54
url,2445.66,384.23,68917.04,70012.63
array-find-index,,1.07,,
detect-indent,2172.11,245.60,106485.14,
lodash._basecopy,2.81,27.85,10887.98,7944.51
globule,1495.68,159.15,97286.63,50910.35
tmp,1678.34,271.44,5551.30,5446.22
babel-core,,,,
memory-fs,4310.51,2121.17,67648.18,55408.22
levn,6456.39,7.58,42581.02,20803.95
is-binary-path,14378.69,8.42,,
crypto-browserify,1333.95,68.97,46911.22,35661.28
map-obj,447.69,37.65,,
resolve-from,15.78,10.09,45565.49,
gaze,812.66,17.94,96852.38,84225.15
faye-websocket,449.44,447.43,61498.97,
cli-cursor,13884.16,9.83,,
lodash._isiterateecall,2.81,27.85,10888.10,7944.63
y18n,583.86,717.03,36207.53,15773.99
lcid,19.92,7.96,4465.68,
restore-cursor,1.32,32.69,,
invert-kv,2.31,4.04,,
progress,1512.69,4771.40,75520.70,56084.64
babel-code-frame,,,,
run-async,90.43,46.02,,
handlebars,686.71,193.49,38786.00,23925.04
currently-unhandled,,4.20,44389.25,61473.83
loose-envify,6944.22,1340.13,45708.48,46405.81
wrap-ansi,4316.35,201.56,31514.10,
fstream,75.01,385.45,93736.88,75433.17
regexpu-core,2967.94,461.37,52444.08,31760.41
ansi-escapes,17885.84,23.79,46108.77,
asap,1745.04,327.28,94673.32,91734.22
set-blocking,1290.30,135.25,39449.48,50924.73
strip-indent,2.34,9.94,,
cli-width,1543.90,6.35,72542.45,8077.41
domhandler,780.79,3.07,26498.77,788.65
trim-newlines,0.44,2.39,,
deep-extend,1119.44,1079.38,69473.64,73529.99
redent,3.95,33.16,,
type-check,30883.51,22.65,54805.47,30606.30
array-union,0.15,5.48,,
invariant,1388.64,1775.63,55399.23,58730.54
prelude-ls,707.76,88.28,89066.38,67898.12
deep-is,7444.70,12154.43,,
connect,719.42,89.33,7366.52,28617.40
escodegen,38.43,23.29,85518.36,56847.17
querystring,1827.12,574.27,68962.06,57408.01
util,3517.85,334.29,52067.38,49325.45
loader-utils,4700.50,480.35,40534.47,27514.76
babel-types,,,,
caniuse-db,3994.85,40.43,50374.90,15359.82
defined,,,,
del,27.30,23.44,46957.08,
babel-traverse,,,,
es6-weak-map,26.35,18.19,94905.22,
lodash.template,2.81,27.85,10888.43,7944.96
rechoir,31.14,180.01,37562.57,12669.29
lodash.templatesettings,2.81,27.85,10888.47,7945.01
ieee754,22.71,100.07,,40496.14
clean-css,623.60,47.15,16654.08,13517.56
tar,1419.33,380.82,23313.47,
to-fast-properties,5.40,58.93,,
pseudomap,472.49,19722.23,78242.25,81585.58
yallist,16603.00,14297.61,7499.09,11161.58
imurmurhash,787.08,,1399.34,
private,180.91,403.37,34843.16,59467.50
has-unicode,5040.27,2219.04,,39012.46
console-browserify,6093.75,6647.23,67495.72,
path-is-inside,3391.40,227.93,69432.54,51177.17
eslint,,,,
object-keys,61.02,39.13,,
are-we-there-yet,2775.27,949.30,,
rc,226.04,168.41,66701.77,63771.63
function-bind,1.42,6.57,23071.47,
date-now,,2.86,68161.66,66170.27
pako,4.96,6.76,23202.08,16977.51
xml2js,630.08,308.71,59694.91,67337.45
performance-now,,,38567.30,
babel-template,,,,
rx-lite,104.76,12.81,82336.77,74929.46
browserslist,25.05,7.81,34172.57,45963.81
replace-ext,7659.88,1432.31,,
home-or-tmp,12.74,1.47,,
lodash._reinterpolate,2.81,27.85,10888.69,7945.22
slash,1.02,10.80,,
gulp-util,14.95,4.08,,
event-emitter,4.41,3.46,88987.03,
delegates,24.83,1193.99,85876.89,63413.66
is-path-in-cwd,2.04,2.92,,
is-path-inside,1230.12,21.68,,
is-path-cwd,2.49,5.07,,
babel-generator,,,,
lodash.restparam,2.81,27.85,10888.80,7945.34
which-module,21.21,457.27,,45803.35
babel-messages,,,,
block-stream,7.46,23.94,92465.49,81306.14
aproba,3439.35,1646.46,37765.47,
readline2,72.31,1.63,,
clone-stats,14.68,0.30,,10751.19
exit-hook,3600.55,329.90,18455.13,
espree,323.46,33.08,16076.77,972.80
dom-serializer,7886.94,0.50,11548.76,1560.93
has,2514.09,13.70,,
socket.io-parser,2192.48,144.25,,37511.41
lodash.clonedeep,2.81,27.85,10888.93,7945.46
timers-browserify,41.17,17.60,63610.85,
regenerate,387.86,708.80,12006.38,34235.42
sha.js,1050.84,103.19,32222.73,43883.92
klaw,749.41,547.38,78944.63,45611.57
ajv-keywords,430.67,167.67,42002.47,31234.92
events,288.76,774.33,32223.39,44742.81
ripemd160,2400.77,563.81,32373.70,
http-proxy,666.12,1113.30,69288.06,48183.94
require-main-filename,4699.40,1013.74,59781.94,55429.77
ast-types,1253.28,184.82,59355.65,34054.68
deep-equal,11231.54,9440.45,20990.51,
regjsgen,127.02,693.65,,236.72
regjsparser,125.63,25.39,101382.55,236.73
webpack,,,,
lodash.escape,2.81,27.85,10889.04,7945.57
winston,2598.92,572.78,52637.95,29825.17
browserify-zlib,2426.00,4819.77,59041.54,56013.28
require-directory,993.44,333.44,77908.41,55211.01
get-caller-file,2673.91,62.17,45352.19,29624.29
callsites,1065.83,8.53,,
on-headers,64.30,241.45,4802.15,3405.42
har-schema,1898.73,4344.65,,64244.37
source-list-map,326.92,251.02,58706.46,75190.85
stream-browserify,545.63,18.32,40851.55,39128.06
wide-align,243.94,6884.30,23061.35,36125.99
lodash.defaults,2.81,27.85,10889.10,7945.63
