pkg_name,maintainer_count,gh_days_since_commit,gh_open_prs,gh_open_issues,gh_stars,gh_repo_url
lodash.assign,2,148,28,72,60446,https://github.com/lodash/lodash
dateformat,6,771,2,13,1295,https://github.com/felixge/node-dateformat
es6-iterator,1,1410,0,0,18,https://github.com/medikoo/es6-iterator
array-flatten,1,520,0,0,86,https://github.com/blakeembrey/array-flatten
findup-sync,3,497,0,1,98,https://github.com/gulpjs/findup-sync
es6-promise,2,907,3,23,7292,https://github.com/stefanpenner/es6-promise
lodash.isarguments,2,148,28,72,60446,https://github.com/lodash/lodash
figures,1,194,0,0,601,https://github.com/sindresorhus/figures
npmlog,7,371,0,1,438,https://github.com/npm/npmlog
osenv,7,1604,10,3,137,https://github.com/npm/osenv
raw-body,2,248,1,1,391,https://github.com/stream-utils/raw-body
onetime,1,551,0,1,162,https://github.com/sindresorhus/onetime
encodeurl,3,67,0,0,40,https://github.com/pillarjs/encodeurl
binary-extensions,2,6,0,1,83,https://github.com/sindresorhus/binary-extensions
jsonfile,2,288,2,3,1208,https://github.com/jprichardson/node-jsonfile
json3,3,2174,1,16,1018,https://github.com/bestiejs/json3
cross-spawn,1,173,3,23,1140,https://github.com/moxystudio/node-cross-spawn
body-parser,3,1,20,19,5494,https://github.com/expressjs/body-parser
ws,4,7,0,5,22182,https://github.com/websockets/ws
readdirp,2,65,0,2,387,https://github.com/paulmillr/readdirp
lodash._getnative,2,148,28,72,60446,https://github.com/lodash/lodash
xmlbuilder,1,275,3,5,922,https://github.com/oozcitak/xmlbuilder-js
doctrine,5,2350,0,0,455,https://github.com/eslint/doctrine
is-stream,1,194,0,0,112,https://github.com/sindresorhus/is-stream
anymatch,4,723,3,4,392,https://github.com/micromatch/anymatch
camelcase-keys,1,322,1,14,714,https://github.com/sindresorhus/camelcase-keys
os-locale,1,1234,0,2,228,https://github.com/sindresorhus/os-locale
meow,1,416,1,22,3603,https://github.com/sindresorhus/meow
postcss,1,6,1,25,28775,https://github.com/postcss/postcss
fast-levenshtein,1,1314,3,7,604,https://github.com/hiddentao/fast-levenshtein
forwarded,2,79,1,1,57,https://github.com/jshttp/forwarded
set-immediate-shim,1,424,0,1,28,https://github.com/sindresorhus/set-immediate-shim
es5-ext,1,1,1,44,176,https://github.com/medikoo/es5-ext
optionator,1,378,1,11,164,https://github.com/gkz/optionator
loud-rejection,1,1567,0,0,280,https://github.com/sindresorhus/loud-rejection
htmlparser2,1,1,9,13,4571,https://github.com/fb55/htmlparser2
type-detect,1,289,2,6,129,https://github.com/chaijs/type-detect
sigmund,1,2641,13,2,66,https://github.com/isaacs/sigmund
process,3,1737,8,10,126,https://github.com/shtylman/node-process
underscore.string,4,795,49,51,3371,https://github.com/epeli/underscore.string
url,3,287,4,12,379,https://github.com/defunctzombie/node-url
array-find-index,1,374,0,0,32,https://github.com/sindresorhus/array-find-index
detect-indent,1,580,0,2,196,https://github.com/sindresorhus/detect-indent
lodash._basecopy,2,148,28,72,60446,https://github.com/lodash/lodash
globule,3,291,12,5,104,https://github.com/cowboy/node-globule
tmp,1,33,4,1,753,https://github.com/raszi/node-tmp
babel-core,3,0,100,0,43575,https://github.com/babel/babel
memory-fs,1,668,10,20,881,https://github.com/webpack/memory-fs
levn,1,661,1,1,85,https://github.com/gkz/levn
is-binary-path,2,375,0,0,44,https://github.com/sindresorhus/is-binary-path
crypto-browserify,5,140,4,32,675,https://github.com/browserify/crypto-browserify
map-obj,1,571,0,4,212,https://github.com/sindresorhus/map-obj
resolve-from,1,1567,0,2,142,https://github.com/sindresorhus/resolve-from
gaze,3,2130,6,62,1153,https://github.com/shama/gaze
faye-websocket,1,610,0,5,612,https://github.com/faye/faye-websocket-node
cli-cursor,1,288,0,0,108,https://github.com/sindresorhus/cli-cursor
lodash._isiterateecall,2,148,28,72,60446,https://github.com/lodash/lodash
y18n,3,8,11,5,150,https://github.com/yargs/y18n
lcid,1,375,0,0,38,https://github.com/sindresorhus/lcid
restore-cursor,1,288,0,0,38,https://github.com/sindresorhus/restore-cursor
invert-kv,1,1169,0,0,37,https://github.com/sindresorhus/invert-kv
progress,4,816,22,49,2986,https://github.com/visionmedia/node-progress
babel-code-frame,3,0,100,0,43575,https://github.com/babel/babel
run-async,1,119,0,0,23,https://github.com/SBoudrias/run-async
handlebars,6,248,26,74,18238,https://github.com/handlebars-lang/handlebars.js
